masked	src
[MASK] ϩⲱⲟⲩ ϩⲱ ⲟⲩ ⲙⲛⲡⲉⲩⲉⲓⲱⲧ ⲙⲛ ⲡⲉⲩ ⲉⲓⲱⲧ ⲉⲧⲟⲩⲏϩ ⲉⲧ ⲟⲩⲏϩ ⲛϩⲏⲧⲟⲩ ⲛϩⲏⲧ ⲟⲩ [MASK] ⲉⲧⲟⲩⲕⲱ ⲉⲧ ⲟⲩ ⲕⲱ ⲛϩⲧⲏⲩ ⲛ ϩⲧⲏ [MASK] ⲉⲣⲟϥ ⲉⲣⲟ ϥ ·	ⲛⲧⲟⲟⲩ ϩⲱⲟⲩ ⲙⲛⲡⲉⲩⲉⲓⲱⲧ ⲉⲧⲟⲩⲏϩ ⲛϩⲏⲧⲟⲩ ⲓⲏⲥⲟⲩⲥ ⲉⲧⲟⲩⲕⲱ ⲛϩⲧⲏⲩ ⲉⲣⲟϥ ·
ⲛⲧⲁⲩϣⲉⲡⲧⲏⲩⲧⲛ ⲛⲧ ⲁ ⲩ ϣⲉⲡ ⲧⲏⲩⲧⲛ ϩⲁⲟⲩⲁⲥⲟⲩ ϩⲁ ⲟⲩ [MASK] ·	ⲛⲧⲁⲩϣⲉⲡⲧⲏⲩⲧⲛ ϩⲁⲟⲩⲁⲥⲟⲩ ·
ⲁⲩⲙⲉⲕⲙⲟⲩⲕⲟⲩ ⲁ ⲩ ⲙⲉⲕⲙⲟⲩⲕ ⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ⲙⲛ ⲛⲉⲩ [MASK] ϫⲉⲙⲛⲧⲟⲩⲟⲉⲓⲕ [MASK] ⲙⲛⲧ ⲟⲩ ⲟⲉⲓⲕ ⲙⲙⲁⲩ.	ⲁⲩⲙⲉⲕⲙⲟⲩⲕⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ϫⲉⲙⲛⲧⲟⲩⲟⲉⲓⲕ ⲙⲙⲁⲩ .
ⲉⲧⲃⲉⲟⲩ ⲉⲧⲃⲉ ⲟⲩ ⲙⲡⲕⲛⲁϩϥ [MASK] ⲕ [MASK] ϥ ⲛⲧⲉⲣⲟⲩⲡⲱϩⲧ ⲛⲧⲉⲣ ⲟⲩ ⲡⲱϩⲧ ⲉⲃⲟⲗ ϩⲛⲧⲉⲕⲙⲏⲧⲉ ϩⲛ ⲧⲉⲕ ⲙⲏⲧⲉ ⲙⲡⲉⲥⲛⲟϥ ⲙ ⲡⲉ ⲥⲛⲟϥ ⲛⲍⲁⲭⲁⲣⲓⲁⲥ ⲛ ⲍⲁⲭⲁⲣⲓⲁⲥ ·	ⲉⲧⲃⲉⲟⲩ ⲙⲡⲕⲛⲁϩϥ ⲛⲧⲉⲣⲟⲩⲡⲱϩⲧ ⲉⲃⲟⲗ ϩⲛⲧⲉⲕⲙⲏⲧⲉ ⲙⲡⲉⲥⲛⲟϥ ⲛⲍⲁⲭⲁⲣⲓⲁⲥ ·
ⲉϥϩⲁⲣⲉϩ ⲉ [MASK] ϩⲁⲣⲉϩ ⲛⲁϥ ⲛⲁ ϥ ⲉⲧⲙⲛⲧⲣⲣⲟ ⲉ ⲧ ⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ ⲛ ⲙ [MASK] ·	ⲉϥϩⲁⲣⲉϩ ⲛⲁϥ ⲉⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ ·
ⲛⲉⲩⲕⲗⲏⲣⲟⲥ ⲛⲉⲩ ⲕⲗⲏⲣⲟⲥ ⲛⲥⲉⲛⲁϯϩⲏⲩ ⲛ ⲥⲉ ⲛⲁ ϯϩⲏⲩ ⲛⲁⲩ [MASK] ⲩ ⲁⲛ ·	ⲛⲉⲩⲕⲗⲏⲣⲟⲥ ⲛⲥⲉⲛⲁϯϩⲏⲩ ⲛⲁⲩ ⲁⲛ ·
ⲉⲩϫⲓⲟⲩⲁ ⲉ [MASK] ϫⲓⲟⲩⲁ ⲉⲣⲟⲛ ⲉⲣⲟ ⲛ . ⲧⲛⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲧⲛ [MASK] ⲙⲙⲟⲟⲩ ⲙⲙⲟ ⲟⲩ ⲛⲧϩⲉ ⲛ ⲧ ϩⲉ ⲛⲛⲉⲓⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ ⲛ [MASK] ⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ ⲙⲡⲕⲟⲥⲙⲟⲥ ⲙ [MASK] ⲕⲟⲥⲙⲟⲥ ⲁⲛⲣϣϥⲉ ⲁ ⲛ ⲣϣϥⲉ ⲛⲟⲩⲟⲛ ⲛ ⲟⲩⲟⲛ ⲛⲓⲙ ϣⲁϩⲣⲁⲓ ⲉⲧⲉⲓⲟⲩⲛⲟⲩ ⲉ ⲧⲉⲓ ⲟⲩⲛⲟⲩ.	ⲉⲩϫⲓⲟⲩⲁ ⲉⲣⲟⲛ . ⲧⲛⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲟⲟⲩ ⲛⲧϩⲉ ⲛⲛⲉⲓⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ ⲙⲡⲕⲟⲥⲙⲟⲥ ⲁⲛⲣϣϥⲉ ⲛⲟⲩⲟⲛ ⲛⲓⲙ ϣⲁϩⲣⲁⲓ ⲉⲧⲉⲓⲟⲩⲛⲟⲩ .
ⲛⲧⲟϥ ⲡⲉ ⲡⲁⲣⲭⲱⲛ ⲡ ⲁⲣⲭⲱⲛ ⲛⲧⲡⲟⲗⲓⲥ ⲛ [MASK] ⲡⲟⲗⲓⲥ ·	ⲛⲧⲟϥ ⲡⲉ ⲡⲁⲣⲭⲱⲛ ⲛⲧⲡⲟⲗⲓⲥ ·
ⲧⲉⲛⲟⲩ ⲇⲉ ⲁⲓϩⲉ ⲁ ⲓ ϩⲉ ⲉⲣⲟⲕ ⲉⲣⲟ ⲕ · ⲁⲩⲱ ⲁⲓϫⲱⲕ ⲁ ⲓ [MASK] ⲉⲃⲟⲗ ⲛⲧⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛ ⲧ ⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛⲧⲁⲕⲧⲁⲛϩⲟⲩⲧ ⲛⲧ ⲁ ⲕ ⲧⲁⲛϩⲟⲩⲧ [MASK] [MASK] ⲥ ·	ⲧⲉⲛⲟⲩ ⲇⲉ ⲁⲓϩⲉ ⲉⲣⲟⲕ · ⲁⲩⲱ ⲁⲓϫⲱⲕ ⲉⲃⲟⲗ ⲛⲧⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛⲧⲁⲕⲧⲁⲛϩⲟⲩⲧ ⲉⲣⲟⲥ ·
ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲛⲧⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ ϩⲛ ⲧ ⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ ⲙⲡⲉⲧⲙⲙⲁⲩ ⲙ ⲡ ⲉⲧ ⲙⲙⲁⲩ ⲕⲛⲁⲣϩⲟⲧⲉ ⲕ ⲛⲁ ⲣϩⲟⲧⲉ ϩⲱⲱⲕ ϩⲱⲱ [MASK] ⲛϩⲏⲧϥ ⲛϩⲏⲧ ϥ ⲙⲡⲛⲟⲩⲧⲉ ⲙ ⲡ [MASK] [MASK]	ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲛⲧⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ ⲙⲡⲉⲧⲙⲙⲁⲩ ⲕⲛⲁⲣϩⲟⲧⲉ ϩⲱⲱⲕ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ .
ⲡⲁϥⲱ ⲡⲁ ϥⲱ ⲇⲉ ⲁϥⲁⲩⲝⲁⲛⲉ ⲁ ϥ ⲁⲩⲝⲁⲛⲉ · [MASK] ⲛⲁϩⲟⲉⲓⲧⲉ ⲛⲁ [MASK] ⲁⲩⲧⲁⲕⲟ ⲁ ⲩ ⲧⲁⲕⲟ ⲉⲡⲧⲏⲣϥ ⲉ ⲡ ⲧⲏⲣϥ ·	ⲡⲁϥⲱ ⲇⲉ ⲁϥⲁⲩⲝⲁⲛⲉ · ⲁⲩⲱ ⲛⲁϩⲟⲉⲓⲧⲉ ⲁⲩⲧⲁⲕⲟ ⲉⲡⲧⲏⲣϥ ·
ⲕⲁⲣⲱⲕ [MASK] ⲣⲱ ⲕ ⲡⲁϣⲏⲣⲉ ⲡⲁ [MASK] · ϥⲥⲏϩ ϥ ⲥⲏϩ ⲅⲁⲣ ϫⲉⲡⲥⲁⲃⲉ ϫⲉ ⲡ ⲥⲁⲃⲉ [MASK] ϩⲙ ⲡⲉ ⲟⲩⲟⲉⲓϣ ⲉⲧⲙⲙⲁⲩ ⲉⲧ ⲙⲙⲁⲩ ϥⲛⲁⲕⲁⲣⲱϥ ϥ ⲛⲁ ⲕⲁ ⲣⲱ ϥ ·	ⲕⲁⲣⲱⲕ ⲡⲁϣⲏⲣⲉ · ϥⲥⲏϩ ⲅⲁⲣ ϫⲉⲡⲥⲁⲃⲉ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧⲙⲙⲁⲩ ϥⲛⲁⲕⲁⲣⲱϥ ·
ⲓⲁⲕⲱⲃ ⲇⲉ ⲛⲉϥⲟⲩⲱϣ ⲛⲉ ϥ ⲟⲩⲱϣ ⲡⲉ ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ [MASK] [MASK] ϩⲉⲛ ϣⲏⲣⲉ ϣⲱⲡⲉ ⲛⲁϥ ⲛⲁ ϥ ⲉⲃⲟⲗ ϩⲛϩⲣⲁⲭⲏⲗ ϩⲛ ϩⲣⲁⲭⲏⲗ ·	ⲓⲁⲕⲱⲃ ⲇⲉ ⲛⲉϥⲟⲩⲱϣ ⲡⲉ ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ ϣⲱⲡⲉ ⲛⲁϥ ⲉⲃⲟⲗ ϩⲛϩⲣⲁⲭⲏⲗ ·
ⲁϩⲣⲟϥ ⲁϩⲣⲟ ϥ [MASK] ⲁ ϥ [MASK] ⲥ [MASK] ⲛϭⲓ ⲡ ϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲡ ⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ϩⲓⲧⲟⲟⲧ ⲟⲩ ⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ⲛ ⲛⲉϥ ⲡⲉⲧⲟⲩⲁⲁⲃ ϫⲉⲉⲣϣⲁⲛⲡⲉⲕϫⲁϫⲉ ϫⲉ ⲉⲣϣⲁⲛ ⲡⲉⲕ ϫⲁϫⲉ ϩⲕⲟ ⲙⲁⲧⲙⲙⲟϥ ⲙⲁ ⲧⲙⲙⲟ [MASK] ⲁⲩⲱ ⲉϥϣⲁⲛⲉⲓⲃⲉ ⲉϥϣⲁⲛ ⲉⲓⲃⲉ ⲙⲁⲧⲥⲟϥ ⲙⲁ ⲧⲥⲟ ϥ	ⲁϩⲣⲟϥ ⲁϥϫⲟⲟⲥ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ϫⲉⲉⲣϣⲁⲛⲡⲉⲕϫⲁϫⲉ ϩⲕⲟ ⲙⲁⲧⲙⲙⲟϥ ⲁⲩⲱ ⲉϥϣⲁⲛⲉⲓⲃⲉ ⲙⲁⲧⲥⲟϥ
ⲉⲕⲧⲙϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ ⲉ ⲕ ⲧⲙ ϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ ⲅⲁⲣ [MASK] ⲙⲉ ⲕ ϫⲓ ⲡⲉⲥⲛⲟϥ ⲡⲉ ⲥⲛⲟϥ ·	ⲉⲕⲧⲙϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ ⲅⲁⲣ ⲙⲉⲕϫⲓ ⲡⲉⲥⲛⲟϥ ·
ⲁϥⲁϩⲉⲣⲁⲧϥ ⲁ ϥ [MASK] ⲣⲁⲧ ϥ ϩⲙⲡⲉϥⲙⲁ ϩⲙ ⲡⲉϥ ⲙⲁ ⲉϥϫⲱ ⲉ ϥ ϫⲱ ⲙⲙⲟⲥ ⲙⲙⲟ ⲥ [MASK] ϫⲉϩⲁⲡⲥ ϫⲉ ϩⲁⲡⲥ ⲡⲉ ⲉⲧⲣⲉⲡⲉⲛⲧⲁϥⲥⲟⲣⲙⲉⲥ ⲉ ⲧⲣⲉ ⲡ [MASK] ⲁ ϥ ⲥⲟⲣⲙ ⲉⲥ ⲉⲓ.	ⲁϥⲁϩⲉⲣⲁⲧϥ ϩⲙⲡⲉϥⲙⲁ ⲉϥϫⲱ ⲙⲙⲟⲥ · ϫⲉϩⲁⲡⲥ ⲡⲉ ⲉⲧⲣⲉⲡⲉⲛⲧⲁϥⲥⲟⲣⲙⲉⲥ ⲉⲓ .
ⲛⲟⲉⲙⲓⲛ ⲇⲉ ⲡⲉϫⲁⲥ ⲡⲉϫⲁ ⲥ ⲛⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲛ ⲧⲉⲥ ϣⲉⲗⲉⲉⲧ ⲥⲛⲧⲉ ϫⲉⲃⲱⲕ ϫⲉ ⲃⲱⲕ ⲛⲧⲉⲧⲛⲕⲧⲉⲧⲏⲩⲧⲛ ⲛ ⲧⲉⲧⲛ ⲕⲧⲉ ⲧⲏⲩⲧⲛ ⲛϭⲓⲧⲟⲩⲓ ⲛϭⲓ ⲧ ⲟⲩⲓ ⲧⲟⲩⲓ ⲧ ⲟⲩⲓ [MASK] [MASK] ⲧⲛ ⲉⲡⲏⲓ ⲉ ⲡ ⲏⲓ ⲛⲧⲉⲥⲙⲁⲁⲩ [MASK] [MASK] ⲙⲁⲁⲩ	ⲛⲟⲉⲙⲓⲛ ⲇⲉ ⲡⲉϫⲁⲥ ⲛⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥⲛⲧⲉ ϫⲉⲃⲱⲕ ⲛⲧⲉⲧⲛⲕⲧⲉⲧⲏⲩⲧⲛ ⲛϭⲓⲧⲟⲩⲓ ⲧⲟⲩⲓ ⲙⲙⲱⲧⲛ ⲉⲡⲏⲓ ⲛⲧⲉⲥⲙⲁⲁⲩ
ⲙⲁⲣⲉϥⲟⲩⲛⲟϥ ⲙⲁⲣⲉ ϥ ⲟⲩⲛⲟϥ ⲉⲧⲉⲧⲛⲕⲟⲓⲛⲱⲛⲉⲓ [MASK] ⲧⲉⲧⲛ ⲕⲟⲓⲛⲱⲛⲉⲓ [MASK] ⲉⲛⲁⲅⲁⲑⲟⲛ ⲉ ⲛ ⲁⲅⲁⲑⲟⲛ ⲙⲛⲛⲉⲣⲏⲧ ⲙⲛ ⲛ ⲉⲣⲏⲧ ·	ⲙⲁⲣⲉϥⲟⲩⲛⲟϥ ⲉⲧⲉⲧⲛⲕⲟⲓⲛⲱⲛⲉⲓ · ⲉⲛⲁⲅⲁⲑⲟⲛ ⲙⲛⲛⲉⲣⲏⲧ ·
