masked	src
jyotiḥ sveṣu bhavati śreṣṭhaḥ svānām bhavati [MASK] evam veda	jyotiḥ sveṣu bhavati śreṣṭhaḥ svānām bhavati yaḥ evam veda
divaḥ pṛthivyāḥ pari ojaḥ udbhṛtam	divaḥ pṛthivyāḥ pari ojaḥ udbhṛtam
yaḥ prāṇataḥ nimiṣataḥ mahitvā ekaḥ id rājā jagataḥ [MASK] yaḥ īśe asya [MASK] catuṣpadaḥ kasmai devāya haviṣā vidhema	yaḥ prāṇataḥ nimiṣataḥ mahitvā ekaḥ id rājā jagataḥ babhūva yaḥ īśe asya dvipadaḥ catuṣpadaḥ kasmai devāya haviṣā vidhema
[MASK] indraḥ [MASK] rūpeṇa paryetya uvāca āste bhagaḥ āsīnasya ūrdhvaḥ tiṣṭhati tiṣṭhataḥ śete nipadyamānasya carāti carataḥ bhagaḥ cara eva iti	tam indraḥ puruṣa rūpeṇa paryetya uvāca āste bhagaḥ āsīnasya ūrdhvaḥ tiṣṭhati tiṣṭhataḥ śete nipadyamānasya carāti carataḥ bhagaḥ cara eva iti
āyuḥ vai uṣṇih	āyuḥ vai uṣṇih
āre śatrūn kṛṇuhi sarva [MASK] iti	āre śatrūn kṛṇuhi sarva vīra iti
niyutvatī yājyā anuvākye bhavataḥ	niyutvatī yājyā anuvākye bhavataḥ
brāhmaṇaspatyaḥ brāhmaṇaḥ devatayā	brāhmaṇaspatyaḥ brāhmaṇaḥ devatayā
vaśām mṛtyum upāsate	vaśām mṛtyum upāsate
tasmai dakṣiṇāyāḥ diśaḥ graiṣmau māsau goptārau akurvan [MASK] ca vāmadevyam ca anuṣṭhātārau graiṣmau enam māsau [MASK] diśaḥ gopāyataḥ yajñāyajñiyam [MASK] vāmadevyam ca anutiṣṭhataḥ yaḥ evam veda	tasmai dakṣiṇāyāḥ diśaḥ graiṣmau māsau goptārau akurvan yajñāyajñiyam ca vāmadevyam ca anuṣṭhātārau graiṣmau enam māsau dakṣiṇāyāḥ diśaḥ gopāyataḥ yajñāyajñiyam ca vāmadevyam ca anutiṣṭhataḥ yaḥ evam veda
evam iva hi mithunam kﾱptam	evam iva hi mithunam kﾱptam
tat tapaḥ abhavat	tat tapaḥ abhavat
vanaspate madhunā daivyena iti	vanaspate madhunā daivyena iti
ā iyam agan pati kāmā	ā iyam agan pati kāmā
tāḥ saptadaśa sampadyante	tāḥ saptadaśa sampadyante
brahmaṇaspateḥ abhavat yathāvaśam satyaḥ manyuḥ mahi [MASK] kariṣyataḥ	brahmaṇaspateḥ abhavat yathāvaśam satyaḥ manyuḥ mahi karmā kariṣyataḥ
uttarā ha vai somaḥ rājā	uttarā ha vai somaḥ rājā
samānam artham pariyanti devāḥ	samānam artham pariyanti devāḥ
atho khalu yasyām eva sthālyām prāyaṇīyam nirvapet tasyām udayanīyam [MASK]	atho khalu yasyām eva sthālyām prāyaṇīyam nirvapet tasyām udayanīyam nirvapet
tam śyaitam ca naudhasam ca saptarṣayaḥ ca somaḥ [MASK] rājā anuvyacalan	tam śyaitam ca naudhasam ca saptarṣayaḥ ca somaḥ ca rājā anuvyacalan
svāhākāreṇa anna ādena annam [MASK] yaḥ evam veda	svāhākāreṇa anna ādena annam atti yaḥ evam veda
sa aughe utthite nāvam āpede	sa aughe utthite nāvam āpede
tat yat [MASK] āśāste tad śriyam āśāste	tat yat paśūn āśāste tad śriyam āśāste
vaśāyāḥ dugdham [MASK] sādhyāḥ vasavaḥ ca ye	vaśāyāḥ dugdham apiban sādhyāḥ vasavaḥ ca ye
te devāḥ [MASK] agni mayīḥ puras tripuram paryāsyanta yajñasya ca ātmanaḥ ca guptyai	te devāḥ pratibudhya agni mayīḥ puras tripuram paryāsyanta yajñasya ca ātmanaḥ ca guptyai
yajña samṛddhim āśāste	yajña samṛddhim āśāste
saḥ agnaye bhāgine ajam kṛṣṇa [MASK] ālabhata	saḥ agnaye bhāgine ajam kṛṣṇa grīvam ālabhata
vajraḥ tena yat aponaptrīyā vajraḥ tena yat triṣṭubh vajraḥ [MASK] yat vāc	vajraḥ tena yat aponaptrīyā vajraḥ tena yat triṣṭubh vajraḥ tena yat vāc
[MASK] ha śunaḥśepaḥ īkṣāṃcakre amānuṣam iva vai mā viśasiṣyanti hanta aham devatāḥ upadhāvāni iti	atha ha śunaḥśepaḥ īkṣāṃcakre amānuṣam iva vai mā viśasiṣyanti hanta aham devatāḥ upadhāvāni iti
sabhāyām aha tvam vada	sabhāyām aha tvam vada
tāḥ ekaviṃśatiḥ bhavanti	tāḥ ekaviṃśatiḥ bhavanti
sīsāya adhi āha varuṇaḥ	sīsāya adhi āha varuṇaḥ
sa yadi ekasyām eva anūktāyām jāyeta yadi dvayoḥ atho [MASK] jantavaḥ iti	sa yadi ekasyām eva anūktāyām jāyeta yadi dvayoḥ atho bruvantu jantavaḥ iti
yat durbhagām [MASK] mṛta vatsām upeyima apaitu sarvam mat pāpam	yat durbhagām prasnapitām mṛta vatsām upeyima apaitu sarvam mat pāpam
saḥ agnaye tejasvine ajam kṛṣṇa [MASK] ālabhata	saḥ agnaye tejasvine ajam kṛṣṇa grīvam ālabhata
pari tvā rohitaiḥ varṇaiḥ dīrgha āyu tvāya dadhmasi [MASK] ayam arapāḥ asat [MASK] u a haritaḥ bhuvat	pari tvā rohitaiḥ varṇaiḥ dīrgha āyu tvāya dadhmasi yathā ayam arapāḥ asat atha u a haritaḥ bhuvat
vācam eva asmin tat dadhāti	vācam eva asmin tat dadhāti
kṛṣṇaḥ iva hi pāpmā	kṛṣṇaḥ iva hi pāpmā
yat karma kriyamāṇam ṛc abhivadati	yat karma kriyamāṇam ṛc abhivadati
sa prajāpatiḥ etān daśa [MASK] apaśyat	sa prajāpatiḥ etān daśa ṛṣabhān apaśyat
sa [MASK] dhanva udūḍhaḥ pipāsayā [MASK] etat aponaptrīyam apaśyat pra devatrā brahmaṇe gātuḥ etu iti	sa bahis dhanva udūḍhaḥ pipāsayā vittaḥ etat aponaptrīyam apaśyat pra devatrā brahmaṇe gātuḥ etu iti
sarūpaḥ nāma te pitā	sarūpaḥ nāma te pitā
saḥ u śreyān bhavati jāyamānaḥ iti śreyān [MASK] hi eṣaḥ etat bhavati jāyamānaḥ	saḥ u śreyān bhavati jāyamānaḥ iti śreyān śreyān hi eṣaḥ etat bhavati jāyamānaḥ
vyṛddham vai tat yajñasya [MASK] mānuṣam	vyṛddham vai tat yajñasya yat mānuṣam
svayā eva enam tat [MASK] svena chandasā samardhayati	svayā eva enam tat devatayā svena chandasā samardhayati
yāvat eva [MASK] tena enam sarveṇa abhicarati	yāvat eva brahma tena enam sarveṇa abhicarati
aśanāyā vai pāpmā amatiḥ	aśanāyā vai pāpmā amatiḥ
pravataḥ [MASK] namaḥ eva astu tubhyam	pravataḥ napāt namaḥ eva astu tubhyam
śam ca naḥ mayaḥ ca [MASK]	śam ca naḥ mayaḥ ca naḥ
ā pyāyaya asmān sakhīn	ā pyāyaya asmān sakhīn
tāḥ etāḥ nava anantarāyam anvāha yajyā iti daśamīm āvarvṛtatīḥ iti a vṛttāsu ekadhanāsu adṛśram [MASK] pratidṛśyamānāsu arthāḥ [MASK] upāyatīṣu yanti iti samāyatīṣu	tāḥ etāḥ nava anantarāyam anvāha yajyā iti daśamīm āvarvṛtatīḥ iti a vṛttāsu ekadhanāsu adṛśram iti pratidṛśyamānāsu arthāḥ iti upāyatīṣu yanti iti samāyatīṣu
rathe tvam asi darśataḥ	rathe tvam asi darśataḥ
tathā iti	tathā iti
[MASK] anyam pari śyenaḥ adreḥ iti	amathnāt anyam pari śyenaḥ adreḥ iti
yāḥ kāḥ ca imāḥ [MASK] tāsām arasatamam viṣam	yāḥ kāḥ ca imāḥ khanitrimāḥ tāsām arasatamam viṣam
kalpate yajñaḥ api	kalpate yajñaḥ api
sā prasūḥ dhenukā bhava	sā prasūḥ dhenukā bhava
sā vai [MASK] amṛta āhutiḥ eva yat vapā āhutiḥ	sā vai eṣā amṛta āhutiḥ eva yat vapā āhutiḥ
tasmāt āhuḥ na [MASK] tānūnaptriṇe drogdhavyam iti	tasmāt āhuḥ na sa tānūnaptriṇe drogdhavyam iti
pratīcaḥ bāhūn prati bhaṅgdhi eṣām	pratīcaḥ bāhūn prati bhaṅgdhi eṣām
evam [MASK] hi tasya rūpam āsīt	evam iva hi tasya rūpam āsīt
tasmāt dīkṣitena satyam eva vaditavyam	tasmāt dīkṣitena satyam eva vaditavyam
sa ha [MASK] yadā vai paśuḥ nirdaśaḥ bhavati atha sa medhyaḥ bhavati [MASK] nu astu atha tvā yajai iti	sa ha uvāca yadā vai paśuḥ nirdaśaḥ bhavati atha sa medhyaḥ bhavati nirdaśaḥ nu astu atha tvā yajai iti
vardhayatam oṣadhīḥ	vardhayatam oṣadhīḥ
somaḥ vai rājā gandharveṣu āsīt	somaḥ vai rājā gandharveṣu āsīt
sahasram te svapivāta bheṣajā	sahasram te svapivāta bheṣajā
īśānāḥ [MASK] kṣayantīḥ carṣaṇīnām apaḥ yācāmi bheṣajam	īśānāḥ vāryāṇām kṣayantīḥ carṣaṇīnām apaḥ yācāmi bheṣajam
etu tisraḥ parāvataḥ	etu tisraḥ parāvataḥ
dhātā rātiḥ savitā idam juṣantām	dhātā rātiḥ savitā idam juṣantām
tatas [MASK] devāḥ abhavan parā asurāḥ	tatas vai devāḥ abhavan parā asurāḥ
divam antarikṣam āt bhūmim sarvam tat [MASK] paśyati	divam antarikṣam āt bhūmim sarvam tat devi paśyati
jīvam vrātam sacemahi	jīvam vrātam sacemahi
tat yat pīvā paśuḥ bhavati yajamānam eva tat svena [MASK] samardhayati	tat yat pīvā paśuḥ bhavati yajamānam eva tat svena medhena samardhayati
uṣāḥ	uṣāḥ
yāḥ akṣeṣu pramodante śucam krodham ca bibhratī ānandinīm pramodinīm apsarām tām [MASK] huve	yāḥ akṣeṣu pramodante śucam krodham ca bibhratī ānandinīm pramodinīm apsarām tām iha huve
tasmāt upāṃśu vācā caritavyam some rājani krīte gandharveṣu hi [MASK] vāc bhavati	tasmāt upāṃśu vācā caritavyam some rājani krīte gandharveṣu hi tarhi vāc bhavati
tam eva bhāgadheyena upāsarat	tam eva bhāgadheyena upāsarat
āgnimārutīm pṛśnim ālabheta vṛṣṭi kāmaḥ	āgnimārutīm pṛśnim ālabheta vṛṣṭi kāmaḥ
ṛtasya ca vai sa satyasya ca sūryasya ca candrasya ca nakṣatrāṇām ca priyam dhāma [MASK] yaḥ [MASK] veda	ṛtasya ca vai sa satyasya ca sūryasya ca candrasya ca nakṣatrāṇām ca priyam dhāma bhavati yaḥ evam veda
svasti apsu vṛjane [MASK] svasti naḥ putrakṛtheṣu yoniṣu svasti rāye marutaḥ dadhātana iti	svasti apsu vṛjane svarvati svasti naḥ putrakṛtheṣu yoniṣu svasti rāye marutaḥ dadhātana iti
idam u su pra sādhaya	idam u su pra sādhaya
sahe piśācān sahasā	sahe piśācān sahasā
[MASK] ca sa vāmadevyāya ca yajñāya ca yajamānāya ca paśubhyaḥ ca āvṛścate yaḥ evam vidvāṃsam vrātyam [MASK]	yajñāyajñiyāya ca sa vāmadevyāya ca yajñāya ca yajamānāya ca paśubhyaḥ ca āvṛścate yaḥ evam vidvāṃsam vrātyam upavadati
yat [MASK] anvabravīt tat prātaranuvākasya prātaranuvāka tvam	yat prātar anvabravīt tat prātaranuvākasya prātaranuvāka tvam
tasya anuhāya pādam agṛhṇāt	tasya anuhāya pādam agṛhṇāt
praitu brahmaṇaspatiḥ iti brāhmaṇaspatyām anvāha	praitu brahmaṇaspatiḥ iti brāhmaṇaspatyām anvāha
trī sākam indraḥ manuṣaḥ [MASK] sutam pibat vṛtra hatyāya somam	trī sākam indraḥ manuṣaḥ sarāṃsi sutam pibat vṛtra hatyāya somam
ehi arvāṅ	ehi arvāṅ
[MASK] soma pītham āpnoti yaḥ evam vidvān udaṅ eti	pra soma pītham āpnoti yaḥ evam vidvān udaṅ eti
yaḥ asya dvitīyaḥ prāṇaḥ [MASK] nāma asau saḥ ādityaḥ	yaḥ asya dvitīyaḥ prāṇaḥ prauḍhaḥ nāma asau saḥ ādityaḥ
[MASK] ha atra aśvinau kāmān dadṛśatuḥ	etāvataḥ ha atra aśvinau kāmān dadṛśatuḥ
medhyaḥ	medhyaḥ
yaḥ [MASK] tamasā gṛhītaḥ manyeta saḥ etam āśvinam añjim ālabheta	yaḥ pāpmanā tamasā gṛhītaḥ manyeta saḥ etam āśvinam añjim ālabheta
sa ha uvāca śunaḥśepaḥ adarśuḥ tvā śāsa hastam na yat śūdreṣu alapsata gavām trīṇi [MASK] tvam [MASK] mat aṅgiraḥ iti	sa ha uvāca śunaḥśepaḥ adarśuḥ tvā śāsa hastam na yat śūdreṣu alapsata gavām trīṇi śatāni tvam avṛṇīthāḥ mat aṅgiraḥ iti
daśa akṣarā virāj	daśa akṣarā virāj
etaiḥ ha asya chandobhiḥ yajataḥ sarvaiḥ chandobhiḥ iṣṭam [MASK] yaḥ evam veda	etaiḥ ha asya chandobhiḥ yajataḥ sarvaiḥ chandobhiḥ iṣṭam bhavati yaḥ evam veda
paśavaḥ	paśavaḥ
eṣa ha vai asya svaḥ [MASK] yat agniḥ agneḥ	eṣa ha vai asya svaḥ yoniḥ yat agniḥ agneḥ
vāyavyām [MASK] ālabheta sārasvatīm meṣīm adityai ajām	vāyavyām ajām ālabheta sārasvatīm meṣīm adityai ajām
na paras gamātha	na paras gamātha
yāni bhadrāṇi bījāni ṛṣabhāḥ [MASK] ca taiḥ tvam putram vindasva	yāni bhadrāṇi bījāni ṛṣabhāḥ janayanti ca taiḥ tvam putram vindasva
tasyāḥ garbhaḥ abhavat viśva rūpaḥ	tasyāḥ garbhaḥ abhavat viśva rūpaḥ
silācī nāma	silācī nāma
jīvan hi pūrvam iṣṭvā atha [MASK] yajate	jīvan hi pūrvam iṣṭvā atha aparam yajate
tat sarvām upahvayate	tat sarvām upahvayate
śuṇṭhaḥ vā bhavati śuka hariḥ [MASK]	śuṇṭhaḥ vā bhavati śuka hariḥ vā
yaḥ tejaḥ [MASK] icchet prayāja āhutibhiḥ prāṅ saḥ iyāt	yaḥ tejaḥ brahmavarcasam icchet prayāja āhutibhiḥ prāṅ saḥ iyāt
svasti enam jarase vahātha	svasti enam jarase vahātha
tṛṣṭā asi tṛṣṭikā	tṛṣṭā asi tṛṣṭikā
sa jātaḥ viśvā [MASK] vi caṣṭe	sa jātaḥ viśvā bhuvanā vi caṣṭe
sa prajāpatiḥ etau mithunau paśū apaśyat ṛṣabham [MASK] vaśām ca	sa prajāpatiḥ etau mithunau paśū apaśyat ṛṣabham ca vaśām ca
vaśā sūryam adhārayat	vaśā sūryam adhārayat
tvaṣṭā rūpāṇi piṃśatu	tvaṣṭā rūpāṇi piṃśatu
āpaḥ [MASK] aspardhanta yāḥ ca imāḥ pūrvedyus vasatīvaryaḥ gṛhyante yāḥ ca prātar ekadhanāḥ	āpaḥ vai aspardhanta yāḥ ca imāḥ pūrvedyus vasatīvaryaḥ gṛhyante yāḥ ca prātar ekadhanāḥ
ubhayyaḥ ha asya etāḥ devatāḥ prītāḥ abhīṣṭāḥ bhavanti [MASK] evam veda	ubhayyaḥ ha asya etāḥ devatāḥ prītāḥ abhīṣṭāḥ bhavanti yaḥ evam veda
[MASK] saṃvatsarīṇām eva etām svastim kurute	atho saṃvatsarīṇām eva etām svastim kurute
[MASK] asya ṣaṣṭhaḥ prāṇaḥ priyaḥ nāma te ime paśavaḥ	yaḥ asya ṣaṣṭhaḥ prāṇaḥ priyaḥ nāma te ime paśavaḥ
jihvāyāḥ agre madhu me	jihvāyāḥ agre madhu me
āgan devaḥ iti anvāha	āgan devaḥ iti anvāha
amuṣmin [MASK] etena loke rādhnuvanti na asmin iti āhuḥ	amuṣmin vai etena loke rādhnuvanti na asmin iti āhuḥ
te tathā vyutkramya amantrayanta	te tathā vyutkramya amantrayanta
bhavati eva	bhavati eva
mā śrutena vi rādhiṣi	mā śrutena vi rādhiṣi
eṣa hi vājānām patiḥ	eṣa hi vājānām patiḥ
ā enam āpaḥ [MASK] ā enam śraddhā gacchati ā enam varṣam gacchati [MASK] evam veda	ā enam āpaḥ gacchanti ā enam śraddhā gacchati ā enam varṣam gacchati yaḥ evam veda
[MASK] eṣām agne janimāni vettha guhā satām attriṇām jātavedaḥ tān tvam brahmaṇā vāvṛdhānaḥ [MASK] eṣām śatatarham agne	yatra eṣām agne janimāni vettha guhā satām attriṇām jātavedaḥ tān tvam brahmaṇā vāvṛdhānaḥ jahi eṣām śatatarham agne
tasmāt yaḥ rājā vijitī syāt api a yajamānaḥ ākhyāpayeta eva etat [MASK] ākhyānam	tasmāt yaḥ rājā vijitī syāt api a yajamānaḥ ākhyāpayeta eva etat śaunaḥśepam ākhyānam
[MASK] me sakhyuḥ stāmānam api sthāta	mā me sakhyuḥ stāmānam api sthāta
sa yat pratīcīm diśam anuvyacalat varuṇaḥ rājā bhūtvā anuvyacalat [MASK] annādīḥ kṛtvā	sa yat pratīcīm diśam anuvyacalat varuṇaḥ rājā bhūtvā anuvyacalat apaḥ annādīḥ kṛtvā
sa ha asmai vācam uvāda bibhṛhi mā pārayiṣyāmi tvā [MASK]	sa ha asmai vācam uvāda bibhṛhi mā pārayiṣyāmi tvā iti
vijeṣa kṛt indraḥ iva anavabravaḥ asmākam [MASK] adhipāḥ bhava iha	vijeṣa kṛt indraḥ iva anavabravaḥ asmākam manyo adhipāḥ bhava iha
anuṣṭubhau svarga kāmaḥ kurvīta	anuṣṭubhau svarga kāmaḥ kurvīta
dru annaḥ sarpiḥ āsutiḥ [MASK] hotā vareṇyaḥ sahasas putraḥ adbhutaḥ	dru annaḥ sarpiḥ āsutiḥ pratnaḥ hotā vareṇyaḥ sahasas putraḥ adbhutaḥ
niyutvatī yājyā anuvākye bhavataḥ	niyutvatī yājyā anuvākye bhavataḥ
sa yat agnīṣomau [MASK] gṛbhītān iti vapāyai yajati sarvābhyaḥ eva tat devatābhyaḥ yajamānam pramuñcati	sa yat agnīṣomau amuñcatam gṛbhītān iti vapāyai yajati sarvābhyaḥ eva tat devatābhyaḥ yajamānam pramuñcati
navanītena abhyañjanti	navanītena abhyañjanti
jātaḥ hi eṣaḥ etāt jāyate	jātaḥ hi eṣaḥ etāt jāyate
tathā iti	tathā iti
vatsāḥ u vai yajñapatim vardhanti	vatsāḥ u vai yajñapatim vardhanti
aghāyatām api nahya mukhāni	aghāyatām api nahya mukhāni
tat yat ghṛtam [MASK] striyai payaḥ ye taṇḍulāḥ te puṃsaḥ	tat yat ghṛtam tat striyai payaḥ ye taṇḍulāḥ te puṃsaḥ
yuvam dakṣam dūḍabham ṛtunā yajñam [MASK]	yuvam dakṣam dūḍabham ṛtunā yajñam āśāthe
sā sūta vaśā bhavat	sā sūta vaśā bhavat
[MASK] kṛtvā tiryam pībaspākam udārathim kṣudhā kila tvā duṣṭano jakṣivān sa na rūrupaḥ	karambham kṛtvā tiryam pībaspākam udārathim kṣudhā kila tvā duṣṭano jakṣivān sa na rūrupaḥ
devāḥ vai yajñam atanvata	devāḥ vai yajñam atanvata
punar tvā duḥ [MASK] devāḥ yathā an unmaditaḥ asasi	punar tvā duḥ viśve devāḥ yathā an unmaditaḥ asasi
indriyāṇi vīryāṇi ātman dhitvā [MASK] eva pratitiṣṭhati	indriyāṇi vīryāṇi ātman dhitvā asyām eva pratitiṣṭhati
tau dīkṣāyāḥ īśāte	tau dīkṣāyāḥ īśāte
mahāṁ asi mahiṣa vṛṣṇyebhiḥ dhana spṛt ugra sahamānaḥ [MASK]	mahāṁ asi mahiṣa vṛṣṇyebhiḥ dhana spṛt ugra sahamānaḥ anyān
tathā rāṣṭrāya na āvṛścate	tathā rāṣṭrāya na āvṛścate
āsthānam asitam tava	āsthānam asitam tava
sa ha uvāca madhuchandāḥ pañcāśatā sārdham [MASK] naḥ pitā saṃjānīte tasmin tiṣṭhāmahe vayam puras tvā sarve kurmahe tvām anvañcaḥ vayam [MASK] iti	sa ha uvāca madhuchandāḥ pañcāśatā sārdham yat naḥ pitā saṃjānīte tasmin tiṣṭhāmahe vayam puras tvā sarve kurmahe tvām anvañcaḥ vayam smasi iti
vaśā pṛthivī	vaśā pṛthivī
samarye ā vidathe vardhamānaḥ iti vardhayanti eva [MASK] tat	samarye ā vidathe vardhamānaḥ iti vardhayanti eva enam tat
sa yat dakṣiṇām [MASK] anuvyacalat indraḥ bhūtvā anuvyacalat balam anna ādam kṛtvā	sa yat dakṣiṇām diśam anuvyacalat indraḥ bhūtvā anuvyacalat balam anna ādam kṛtvā
