masked	src
[MASK] čodalcodic Cassianos new doctor monduan.	Kiro̗l čodalcodic Cassianos new doctor monduan.
te_nalad [MASK] a· baꝛań etèlt èn taneituanīmal.	te_nalad teʒèm a· baꝛań etèlt èn taneituanīmal.
dè kèꝛèſtec èngemèt mego̗lno̗to̗k,	dè kèꝛèſtec èngemèt mego̗lno̗to̗k,
laſſanac vilaǵot.	laſſanac vilaǵot.
es mind enne soc ńomorusagnac vtanna lezo̗n [MASK] keńer belo̗le,	es mind enne soc ńomorusagnac vtanna lezo̗n kello̗ keńer belo̗le,
Amen	Amen
hogÿ frater ferencz olyan,	hogÿ frater ferencz olyan,
ees az kemen nýak [MASK] nem haýoltatýk.	ees az kemen nýak megh nem haýoltatýk.
Es micoꝛ megleltec uolna o̗tèt [MASK] èluo̗l,	Es micoꝛ megleltec uolna o̗tèt tèngèr èluo̗l,
hogý kellesse-@@nek [MASK] zaamnak bezeedý, ees een zýwemnek gondolathya the_eletthed mýndenha.	hogý kellesse-@@nek een zaamnak bezeedý, ees een zýwemnek gondolathya the_eletthed mýndenha.
Fel_emelthek folýo_wýzek [MASK] habokath: sook wyzeknek zawýthwl Chwdalathos ten-@@gernek emelkedeͤsý: chwdala-@@thos [MASK].	Fel_emelthek folýo_wýzek ew habokath: sook wyzeknek zawýthwl Chwdalathos ten-@@gernek emelkedeͤsý: chwdala-@@thos magassagokban.
ez elʼeten istennec elo̗tte igo̗n [MASK],	ez elʼeten istennec elo̗tte igo̗n naǵ,
meꝛt kinèc vagō,	meꝛt kinèc vagō,
es [MASK] gonozt el acarz tauoztatni,	es valaminemu̇ gonozt el acarz tauoztatni,
èʒekèt mōda:	èʒekèt mōda:
[MASK] zent fferencz ewnek yewueset, yo== ==gondolattyat es kysalasat annak [MASK] meg_tuda ew== ==lelkeben.	De zent fferencz ewnek yewueset, yo== ==gondolattyat es kysalasat annak elewtte meg_tuda ew== ==lelkeben.
Es mōda o̗_nèki:	Es mōda o̗_nèki:
ez vnmagat nem valʼa,	ez vnmagat nem valʼa,
⁊ felkeluē ko̗uète o̗tet.	⁊ felkeluē ko̗uète o̗tet.
Ki fèlèluē monda nèkic:	Ki fèlèluē monda nèkic:
hog o̗_vèle volna.	hog o̗_vèle volna.
meꝛt ig [MASK] a· ꝓphetacat,	meꝛt ig v̇ldo̗ʒtec a· ꝓphetacat,
melʼlʼel meꝛèndetec,	melʼlʼel meꝛèndetec,
hol vèttec o̗tèt.	hol vèttec o̗tèt.
⁊ v̇lno̗,	⁊ v̇lno̗,
pocloſoc meǵtiʒ́toltatnac,	pocloſoc meǵtiʒ́toltatnac,
⁊ iʒnac uala,	⁊ iʒnac uala,
Azert ha ezt meg_gondolanǵa az [MASK] embo̗r,	Azert ha ezt meg_gondolanǵa az bino̗s embo̗r,
biʒoń lakoʒec aʒon hèlʼbē kèt napon [MASK]	biʒoń lakoʒec aʒon hèlʼbē kèt napon.
⁊ tiʒ́tolatbā ki_megen megtiʒ́teituā mēden etkèket [MASK]	⁊ tiʒ́tolatbā ki_megen megtiʒ́teituā mēden etkèket.
mend egben repewlew keselyw,	mend egben repewlew keselyw,
mellʼèkèt attal ènnèkē,	mellʼèkèt attal ènnèkē,
meꝛt valamelʼlʼèkèt aʒ tènd,	meꝛt valamelʼlʼèkèt aʒ tènd,
meꝛt olʼlʼatanoke iſtènnᶜ oꝛʒaǵa.	meꝛt olʼlʼatanoke iſtènnᶜ oꝛʒaǵa.
Es ki_menè a· [MASK] èlèibe,	Es ki_menè a· pituaꝛ èlèibe,
⁊ mėlʼ bèlo̗l vagō?	⁊ mėlʼ bèlo̗l vagō?
Es megfoꝛdoluā a· kopoꝛſotol hiꝛdètec a· [MASK] / ⁊ mēd aʒ egèbicnᶜ.	Es megfoꝛdoluā a· kopoꝛſotol hiꝛdètec a· tiʒèn_egnᶜ / ⁊ mēd aʒ egèbicnᶜ.
[MASK] volna alazatossagban es zegensegben mendentewl kewlewmb: azoktol,	kÿ volna alazatossagban es zegensegben mendentewl kewlewmb: azoktol,
Es [MASK] mēdꝫ napon a· templomban taneituan.	Es vala mēdꝫ napon a· templomban taneituan.
Fèlelè o̗nèkic iᶜ:	Fèlelè o̗nèkic iᶜ:
kic tu̇to̗kèt gu̇loltèc!	kic tu̇to̗kèt gu̇loltèc!
Ha ke· a· [MASK] a vakot vèʒètèndi,	Ha ke· a· vac a vakot vèʒètèndi,
Te vꝛad iſtèned ėg.	Te vꝛad iſtèned ėg.
Es el_mene zent fferencz,	Es el_mene zent fferencz,
o̗tet keꝛgetèc,	o̗tet keꝛgetèc,
Tugguc,	Tugguc,
kic oth valanac:	kic oth valanac:
[MASK] János Evangelista Koͤnyvének Elei.	Szent János Evangelista Koͤnyvének Elei.
Aldýaͣtok mýnden bestýek [MASK] barmok wrat',	Aldýaͣtok mýnden bestýek ees barmok wrat',
⁊ igaſſaǵban nē allot,	⁊ igaſſaǵban nē allot,
èʒec vėʒ́nèc nagob kaꝛhoʒatot.	èʒec vėʒ́nèc nagob kaꝛhoʒatot.
mast meg'_chalatot' | fel_serkewnek [MASK] kewnhwllatasýmwal.	mast meg'_chalatot' | fel_serkewnek | kewnhwllatasýmwal.
meꝛt haꝛmadnapi.	meꝛt haꝛmadnapi.
egÿenbe mondananak veternÿett.	egÿenbe mondananak veternÿett.
kyk [MASK] voltak meg_yzentetek angyalnak mÿatta.	kyk neky voltak meg_yzentetek angyalnak mÿatta.
Honnā èleǵeithèti meǵ èʒeket keńeꝛeckel valaki ith [MASK] kiètlenbèn.	Honnā èleǵeithèti meǵ èʒeket keńeꝛeckel valaki ith è kiètlenbèn.
Es [MASK] lo̗t aʒ angallal meńńeẏ viteʒi ſeꝛègecnᶜ ſokaſſaga dičeꝛuen iſtènt ⁊ mōduan:	Es legottan lo̗t aʒ angallal meńńeẏ viteʒi ſeꝛègecnᶜ ſokaſſaga dičeꝛuen iſtènt ⁊ mōduan:
Es en te_neked fogadom,	Es en te_neked fogadom,
Ees leeznek,	Ees leeznek,
[MASK] athýanak ees fýw-@@nak ees zenthleleknek.	Dyche-@@seegh athýanak ees fýw-@@nak ees zenthleleknek.
miglen nap vagon.	miglen nap vagon.
⁊ a· [MASK] te ʒėmėdbèn nē latod.	⁊ a· geꝛendat te ʒėmėdbèn nē latod.
Fiam, èmlèkeʒièl== ==m̄g,	Fiam, èmlèkeʒièl== ==m̄g,
hogÿ ez vÿlagÿ pap mene bel Γ Porciuncula_belÿ zent marianak egÿhazaba aÿoÿtatossagnak [MASK],	hogÿ ez vÿlagÿ pap mene bel Γ Porciuncula_belÿ zent marianak egÿhazaba aÿoÿtatossagnak kedueert,
mendennek [MASK] vtal uala pe{n}zt,	mendennek felette vtal uala pe{n}zt,
mert az haborusagot bekeseggel zenuednie zentsegnec es malaztnac [MASK] ieǵe,	mert az haborusagot bekeseggel zenuednie zentsegnec es malaztnac naǵob ieǵe,
⁊ nē vala [MASK] tanoſagoc alkolmas.	⁊ nē vala o̗ tanoſagoc alkolmas.
ew bewnehez tewn harmad [MASK].	ew bewnehez tewn harmad bewnt.
ky mondatyk labaknak,	ky mondatyk labaknak,
Fogadzs,	Fogadzs,
Monda aʒeꝛt nekic iᶜ:	Monda aʒeꝛt nekic iᶜ:
hogÿ ew hyuÿ mÿatt [MASK] lla_t ew ÿvhÿnak.	hogÿ ew hyuÿ mÿatt .|. lla_t ew ÿvhÿnak.
⁊ hoʒanac neki mēden [MASK] vallokat,	⁊ hoʒanac neki mēden gonoʒ́ol vallokat,
merth y-@@-me [MASK] bodoghnak mondnak engem mýnden nemzethek.	merth y-@@-me eez_wthan bodoghnak mondnak engem mýnden nemzethek.
Ha ke· kèꝛdèndlec,	Ha ke· kèꝛdèndlec,
è kènèttèl kènète m̄g èn [MASK].	è kènèttèl kènète m̄g èn labaimat.
⁊ hideſſed iſtēnᶜ oꝛʒagat!	⁊ hideſſed iſtēnᶜ oꝛʒagat!
mÿkenth koronazÿa vala o̗teth [MASK] ÿrgalmassagh halala ÿdeÿen,	mÿkenth koronazÿa vala o̗teth az ÿrgalmassagh halala ÿdeÿen,
⁊ nē akaꝛad.	⁊ nē akaꝛad.
menthewl le_ýlendethek,	menthewl le_ýlendethek,
es el_ragadoz'ac.	es el_ragadoz'ac.
Te_benned wram remeͤnkedtem,	Te_benned wram remeͤnkedtem,
kýkwel [MASK] eͤleeth ekesewlteb wolna,	kýkwel eez eͤleeth ekesewlteb wolna,
harmadýk	harmadýk
Imadsagh	Imadsagh
el_haǵwan haloÿokath es az haÿoćzkath [MASK] o̗teth.	el_haǵwan haloÿokath es az haÿoćzkath ko̗uetek o̗teth.
ffrater masseusnak [MASK] es me nezeset:| [MASK] zep es ayoÿtatos nezeseuel es zep beze{de}deuel.	ffrater masseusnak ertelmet es me nezeset:| ew zep es ayoÿtatos nezeseuel es zep beze{de}deuel.
[MASK] mÿkoron Meglen elek uala,	kynek mÿkoron Meglen elek uala,
koltagiatoc,	koltagiatoc,
ees magaͣt' mýwel-@@-kedetybe megh [MASK] gýo-@@gýhtýa.	ees magaͣt' mýwel-@@-kedetybe megh nem gýo-@@gýhtýa.
kýk az Nyarý Sextaban wan-@@nak [MASK]	kýk az Nyarý Sextaban wan-@@nak.
⁊ volt o̗ [MASK] nag.	⁊ volt o̗ omlaſa nag.
hog valaki m̄g_ńitta== ==uolna vakon lo̗tnᶜ o̗== ==ʒ́emèit [MASK]	hog valaki m̄g_ńitta== ==uolna vakon lo̗tnᶜ o̗== ==ʒ́emèit.
Vakon valʼlʼatoc tu̇ ʒ́u̇uèteket.	Vakon valʼlʼatoc tu̇ ʒ́u̇uèteket.
ha illic ʒombaton vigaʒtani,	ha illic ʒombaton vigaʒtani,
lo̗t nag èhſeǵ aʒ== [MASK],	lo̗t nag èhſeǵ aʒ== ==oꝛʒ́agban,
hog èʒeket teʒed?	hog èʒeket teʒed?
⁊ èʒec,	⁊ èʒec,
es felto̗kbe az [MASK] le_esenec.	es felto̗kbe az fo̗ldre le_esenec.
ſē feꝛfiunac akaratʼtʼabol,	ſē feꝛfiunac akaratʼtʼabol,
Es gÿakorta,	Es gÿakorta,
mi tèććic tu̇nèctec?	mi tèććic tu̇nèctec?
⁊ mōd== ==uala iᶜ:	⁊ mōd== ==uala iᶜ:
Mondanac nèki:	Mondanac nèki:
Vram, hog laſſac.	Vram, hog laſſac.
hogÿ [MASK] kyuanatod me vagÿon meg_tellyesewlt,	hogÿ te kyuanatod me vagÿon meg_tellyesewlt,
mert nagÿ zolgalat sokassag es [MASK] ==uala.	mert nagÿ zolgalat sokassag es erewtelen== ==uala.
[MASK] a· kiꝛalʼ fèlèluē mōd aʒocnac:	Es a· kiꝛalʼ fèlèluē mōd aʒocnac:
oda_hÿak az o̗ hugokath,	oda_hÿak az o̗ hugokath,
mendennek meg_yelentuen: nem hagya az megalut testet kyvynnÿ az [MASK],	mendennek meg_yelentuen: nem hagya az megalut testet kyvynnÿ az hazbalol,
es čodalcodnac vala mind az v̇ naǵ bo̗lčesegen [MASK]	es čodalcodnac vala mind az v̇ naǵ bo̗lčesegen,
čudalkottanac èʒecro̗l,	čudalkottanac èʒecro̗l,
hog èluegen [MASK] o̗ haʒabol.	hog èluegen valamit o̗ haʒabol.
⁊ mōda o̗nèki:	⁊ mōda o̗nèki:
De hogÿ frat{er} Bernald [MASK] halalanac ÿdeÿere,	De hogÿ frat{er} Bernald ywtna halalanac ÿdeÿere,
zent fferencz [MASK] frater Rufent,	zent fferencz fel_ewltewztete frater Rufent,
es cristusnak ÿuhÿt meg_epeÿtettek uala [MASK]	es cristusnak ÿuhÿt meg_epeÿtettek uala,
Mikeppèn adhatʼtʼa [MASK] tèſtėt mu̇nèko̗nc megènno̗nc?	Mikeppèn adhatʼtʼa o̗ tèſtėt mu̇nèko̗nc megènno̗nc?
o̗tet keꝛgetec,	o̗tet keꝛgetec,
Latuā [MASK] èſec o̗ labaihoʒ,	Latuā o̗tèt èſec o̗ labaihoʒ,
veztegÿetek.	veztegÿetek.
meꝛt vtannonc iuo̗lt.	meꝛt vtannonc iuo̗lt.
meꝛt a· ſidoc kèꝛèſic== ==uala o̗tèt mego̗lnièc [MASK]	meꝛt a· ſidoc kèꝛèſic== ==uala o̗tèt mego̗lnièc.
Es mÿkoron ew bodog fferenczuel ystennek [MASK] valamenyet bezellettec uolna,	Es mÿkoron ew bodog fferenczuel ystennek bezedyrewl valamenyet bezellettec uolna,
kit fėllètec.	kit fėllètec.
Felelenᶜ aʒ ildomoſoc monduā:	Felelenᶜ aʒ ildomoſoc monduā:
mẻt ninč vilaǵ o̗_benne.	mẻt ninč vilaǵ o̗_benne.
kyket az [MASK] kertenek uala ewtewlewk alazatost.	kyket az baratok kertenek uala ewtewlewk alazatost.
⁊ ne akaꝛiatoc m̄g_tiltanotoc aʒocat [MASK]	⁊ ne akaꝛiatoc m̄g_tiltanotoc aʒocat,
De agg [MASK] akaruan zomorwsagot zomorwsagra adnÿa,	De agg ellenseg akaruan zomorwsagot zomorwsagra adnÿa,
⁊ iaꝛih?	⁊ iaꝛih?
im èlko̗ʒèleit aʒ ido̗,	im èlko̗ʒèleit aʒ ido̗,
Azon wr | yeswsnak chrysthwsnak mý-@@-attha, ký athýa_ystennel [MASK] zenth_lelekkel eel,	Azon wr | yeswsnak chrysthwsnak mý-@@-attha, ký athýa_ystennel ees zenth_lelekkel eel,
Es bodog [MASK] mond uala: zolonak.	Es bodog fferenc mond uala: zolonak.
es az o̗ro̗c hazaba naǵ erdo̗mmel acar mennie [MASK]	es az o̗ro̗c hazaba naǵ erdo̗mmel acar mennie,
hogÿ [MASK] ez vÿlag te_vtannad yewyewn?	hogÿ mend ez vÿlag te_vtannad yewyewn?
ki ſokakeꝛt èlo̗tlètic.	ki ſokakeꝛt èlo̗tlètic.
Segeych mýnket,	Segeych mýnket,
tezen [MASK] nemÿ egyesseges vÿgasagot.	tezen uala nemÿ egyesseges vÿgasagot.
Es [MASK] mondyak uala sok baratok,	Es azt mondyak uala sok baratok,
Mÿ== ==es vÿgadhatnank ez [MASK],	Mÿ== ==es vÿgadhatnank ez vÿlagon,
Ne akaꝛiatoc alaitanotoc,	Ne akaꝛiatoc alaitanotoc,
Laſſatoc,	Laſſatoc,
Mas nap [MASK] kedygh | aa-@@ronnak wezzeýe leletteteek chemetheesewlthný wýraͣ-@@gokath,	Mas nap wtan kedygh | aa-@@ronnak wezzeýe leletteteek chemetheesewlthný wýraͣ-@@gokath,
meꝛt [MASK] ʒ́eǵėn o̗ʒuèg mēdènecnèl to̗bbèt èꝛèʒ́tėt.	meꝛt è ʒ́eǵėn o̗ʒuèg mēdènecnèl to̗bbèt èꝛèʒ́tėt.
Ig lo̗t kè·,	Ig lo̗t kè·,
[MASK] eǵeb zent aiandoknac vetelere,	es eǵeb zent aiandoknac vetelere,
harmad	harmad
⁊ [MASK] o̗k es meǵſcènteltèc iǵaſſaǵban.	⁊ legènᶜ o̗k es meǵſcènteltèc iǵaſſaǵban.
hog aʒ [MASK] alaſaꝛol mondana.	hog aʒ alomnac alaſaꝛol mondana.
kic [MASK] ènvèlē èn kėſėꝛtètimbèn,	kic meǵmarattatoc ènvèlē èn kėſėꝛtètimbèn,
mēd èn ifiudadſagomtol foguā,	mēd èn ifiudadſagomtol foguā,
meg_aluttatt,	meg_aluttatt,
ez zent imadsag [MASK] zol,	ez zent imadsag vr_istennel zol,
[MASK] fesuenseguel tewlt vr Siluester,	Demaga fesuenseguel tewlt vr Siluester,
Aldyaͣtok wrnak papý wrat',	Aldyaͣtok wrnak papý wrat',
Akarÿa uala ew fÿaÿt vallatnÿ hassonlatos [MASK] neky.	Akarÿa uala ew fÿaÿt vallatnÿ hassonlatos byzonsagual neky.
[MASK] tẃ kÿk en_ertem mÿndeneketh el_hattatok,	hoǵh tẃ kÿk en_ertem mÿndeneketh el_hattatok,
De megteruen zent fferench az [MASK] vton,	De megteruen zent fferench az elsew vton,
⁊ bèmenenᶜ a· diʒnocba.	⁊ bèmenenᶜ a· diʒnocba.
mý wronk yesus christusnak mýatta [MASK] ký the_weled lakozyk,	mý wronk yesus christusnak mýatta, ký the_weled lakozyk,
hoǵ_nem az naǵ cazdagsaga.	hoǵ_nem az naǵ cazdagsaga.
ewrýzýe wr the lelkedeth,	ewrýzýe wr the lelkedeth,
auaǵ Kedeg az meń_orzage.	auaǵ Kedeg az meń_orzage.
es [MASK] igo̗n naǵ haznalatʼa leǵo̗n az zent imadsagnac.	es melʼ igo̗n naǵ haznalatʼa leǵo̗n az zent imadsagnac.
⁊ vètuē aʒ́t o̗ baꝛmaꝛa mōda a· ſtallo_taꝛtonac [MASK]	⁊ vètuē aʒ́t o̗ baꝛmaꝛa mōda a· ſtallo_taꝛtonac,
Frater [MASK] mykoron latta uala zent ferenczet fewlttewl fel_emelet== ==lennÿ.	Frater leorol mykoron latta uala zent ferenczet fewlttewl fel_emelet== ==lennÿ.
ha ystentewl ezen ayandekot ew erdelme [MASK] erdemlene vennÿe.	ha ystentewl ezen ayandekot ew erdelme myat erdemlene vennÿe.
Vvr sýonnak [MASK] megh_fordyhthasaban | let-@@thek leewnk,	Vvr sýonnak fogsaagaath megh_fordyhthasaban | let-@@thek leewnk,
es keuelʼh.	es keuelʼh.
Ezth [MASK] regente== ==es megh_mutattah vala az vr_ÿsten zenth esdras ꝓphetanak,	Ezth meegh regente== ==es megh_mutattah vala az vr_ÿsten zenth esdras ꝓphetanak,
De ez [MASK] attyanak fel_emelkedesÿ voltak [MASK] newew helÿen: es egyeb sok helyeken.	De ez zent attyanak fel_emelkedesÿ voltak aluerna newew helÿen: es egyeb sok helyeken.
My_keͤppen leezen [MASK] ystennek an-@@gýala,	My_keͤppen leezen ez ystennek an-@@gýala,
felele zent fferencz:	felele zent fferencz:
Azert valaki acar meg_zabadulni az o̗ro̗c [MASK],	Azert valaki acar meg_zabadulni az o̗ro̗c ǵalazattul,
monda:	monda:
Monda o̗_neki iᶜ:	Monda o̗_neki iᶜ:
fualla o̗_reiaioc,	fualla o̗_reiaioc,
kykben sokan ewtek uala nagÿ [MASK],	kykben sokan ewtek uala nagÿ aÿoÿtatossagual,
Aʒeꝛt ha mondandnac tu̇nèktec:	Aʒeꝛt ha mondandnac tu̇nèktec:
⁊ lėlʼlʼènèc etkèkèt,	⁊ lėlʼlʼènèc etkèkèt,
Mōda o̗nèkic iᶜ:	Mōda o̗nèkic iᶜ:
hogÿ en az sebeknek helyt vgÿ vakarom [MASK],	hogÿ en az sebeknek helyt vgÿ vakarom el,
hog èꝛtènenᶜ iraſocat,	hog èꝛtènenᶜ iraſocat,
mýkenth wala kezdethben ees ma ees mýndenha [MASK] erewkkewl_erewkke.	mýkenth wala kezdethben ees ma ees mýndenha ees erewkkewl_erewkke.
⁊ kèʒdè ʒ́olni.	⁊ kèʒdè ʒ́olni.
wrra yweltheek,	wrra yweltheek,
[MASK] hews, nem tartad en tanwsagomot az czergetesben.	Te hews, nem tartad en tanwsagomot az czergetesben.
Ha faýthalansagokath megh_tharthandazs wram,	Ha faýthalansagokath megh_tharthandazs wram,
Es megmonda mondot hewsnec menden mÿuelkedetÿt [MASK]	Es megmonda mondot hewsnec menden mÿuelkedetÿt,
⁊ hoʒia_vepec eg leań monduan [MASK]	⁊ hoʒia_vepec eg leań monduan:
ezt ńiluan meg_o̗smero̗d ebbo̗l,	ezt ńiluan meg_o̗smero̗d ebbo̗l,
O̗ ke· [MASK] meguigaʒ́ta aʒ́t,	O̗ ke· raǵaduan meguigaʒ́ta aʒ́t,
es monda neki olofernes.	es monda neki olofernes.
ẃduo̗z== ==leǵh [MASK], malaztal tellÿes.	ẃduo̗z== ==leǵh Ma-@@ria, malaztal tellÿes.
ki vala ko̗ʒ́ueńès,	ki vala ko̗ʒ́ueńès,
meꝛt vala o̗kèt taneito,	meꝛt vala o̗kèt taneito,
Nap nap-@@nak kerewdyk ygeeth,	Nap nap-@@nak kerewdyk ygeeth,
èʒ ido̗t [MASK] mikėppè̄ nē biʒońeitanotoc?	èʒ ido̗t ke· mikėppè̄ nē biʒońeitanotoc?
kýk ýaͣrnak ew wthaýba.	kýk ýaͣrnak ew wthaýba.
kyt latuan frater masseus ygen meg_yzanÿodak [MASK]	kyt latuan frater masseus ygen meg_yzanÿodak.
mikeppen az cristal_ku̇,	mikeppen az cristal_ku̇,
Isten en segedseegemre ygýekez-@@yeͤl,	Isten en segedseegemre ygýekez-@@yeͤl,
Vram halgassad megh een [MASK],	Vram halgassad megh een ymaͣd_saͣgomath,
hog meńńo̗nc o̗_bèleiec.	hog meńńo̗nc o̗_bèleiec.
Es a· [MASK] meglėuė̄, micor o̗ꝛdo̗ǵ īmar èrèʒ́tette [MASK] o̗ magat Iudaſnac ʒ́u̇uėbè,	Es a· vačora meglėuė̄, micor o̗ꝛdo̗ǵ īmar èrèʒ́tette volna o̗ magat Iudaſnac ʒ́u̇uėbè,
hognē tinectec.	hognē tinectec.
èn [MASK] ke· èl nē mulnac	èn iǵėim ke· èl nē mulnac
mikeppen amaz iambo̗r [MASK] sarat raguelnec leańat,	mikeppen amaz iambo̗r zu̇zet sarat raguelnec leańat,
ki mindo̗n iozagnac ellenko̗do̗e,	ki mindo̗n iozagnac ellenko̗do̗e,
⁊ a· hab a· haioba [MASK] vala,	⁊ a· hab a· haioba èꝛèʒtetic vala,
ees zýlzs fýath.	ees zýlzs fýath.
kÿknek kelh gÿẃmo̗lćzo̗znÿek, [MASK] [tÿz-@@tasagoth: ÿo hÿrth] tÿztassaggal, ÿo hÿrrel newel, vÿlagosÿtto bo̗lćzeseggel, bo̗lćznek mondasa [MASK]:	kÿknek kelh gÿẃmo̗lćzo̗znÿek, lelkÿ [tÿz-@@tasagoth: ÿo hÿrth] tÿztassaggal, ÿo hÿrrel newel, vÿlagosÿtto bo̗lćzeseggel, bo̗lćznek mondasa zerēt:
hog mellet ew nem [MASK] uala,	hog mellet ew nem tehet uala,
[MASK] vtanna kèʒde iᶜ ièlengètni o̗ taneituańinac,	Ennᶜ vtanna kèʒde iᶜ ièlengètni o̗ taneituańinac,
kynek kewrnywle vala egÿ helheztetett [MASK] kew.	kynek kewrnywle vala egÿ helheztetett zep kew.
Es mōdanac nèki:	Es mōdanac nèki:
⁊ halallal getꝛit o̗kèt,	⁊ halallal getꝛit o̗kèt,
azokban vegesleg meg_telyesegyenek,	azokban vegesleg meg_telyesegyenek,
hogÿ ewk,	hogÿ ewk,
valaki vg illètet èngemèt,	valaki vg illètet èngemèt,
es ydegenekbewl engedy | [MASK] zolgaͣdnak.	es ydegenekbewl engedy | the zolgaͣdnak.
hoǵ micoron predicallana az nepnec naǵ buzgosaggal [MASK]	hoǵ micoron predicallana az nepnec naǵ buzgosaggal,
⁊ nē lattoc èngemèt,	⁊ nē lattoc èngemèt,
hog mēne Ieruſalebe,	hog mēne Ieruſalebe,
menÿ zent fferencznek ÿogÿahoz,	menÿ zent fferencznek ÿogÿahoz,
Mÿkoron le_haÿtotta [MASK] magat az agyban,	Mÿkoron le_haÿtotta uolna magat az agyban,
⁊ haluan halʼlʼanac,	⁊ haluan halʼlʼanac,
Ime minemu̇ izu̇ ez atkozot gonoz ragalmassag [MASK]	Ime minemu̇ izu̇ ez atkozot gonoz ragalmassag.
tud-@@d== ==e,	tud-@@d== ==e,
Jol tette isten,	Jol tette isten,
vers	vers
Az en gÿo̗nÿo̗ro̗segÿm [MASK] len-@@nem embereknek fÿaÿual.	Az en gÿo̗nÿo̗ro̗segÿm: len-@@nem embereknek fÿaÿual.
Ada gÿczeretet vr_iesus cristusnak,	Ada gÿczeretet vr_iesus cristusnak,
valanac a· leualtac ko̗ʒʒo̗l,	valanac a· leualtac ko̗ʒʒo̗l,
micoꝛ lattac== ==uolna a· [MASK],	micoꝛ lattac== ==uolna a· ièlenſeǵèt,
Es ewtett [MASK] kemenen gewtri uala,	Es ewtett hideg kemenen gewtri uala,
Mýkor [MASK] ew zerethewýnek almath, ýme wrnak ewrewke, fyak, yw-@@thalmak, haznak gýemewl-@@che Mýkenth nýlak hathal-@@masnak [MASK],	Mýkor adand ew zerethewýnek almath, ýme wrnak ewrewke, fyak, yw-@@thalmak, haznak gýemewl-@@che Mýkenth nýlak hathal-@@masnak kezeebe,
Maria!	Maria!
⁊ o̗ ėl èn_eꝛettèm.	⁊ o̗ ėl èn_eꝛettèm.
melʼlʼekèt mōdot iᶜ.	melʼlʼekèt mōdot iᶜ.
kerevnk,	kerevnk,
