masked	src
⁊ kic o̗ꝛ[_]gbèc,	⁊ kic o̗ꝛègbèc,
⁊ meǵʒ́oreitotta uo[_]na o̗== =[_]magat.	⁊ meǵʒ́oreitotta uolna o̗== ==magat.
h[_]gÿ cris[_]usnak (se) zerelmeert kerestf[_]nak serelmeben, auagÿ kyn[_]aban ygaz fe[_]wlewt cristosual fÿgene.	hogÿ cristusnak (se) zerelmeert kerestfanak serelmeben, auagÿ kynÿaban ygaz fezwlewt cristosual fÿgene.
o̗[_]do̗g azt nem feli,	o̗rdo̗g azt nem feli,
mēd a· n[_]p meǵko̗uèʒ mūkèt.	mēd a· nėp meǵko̗uèʒ mūkèt.
Kiro̗l čodalcodic Cassianos new doctor[_]m[_]nduan.	Kiro̗l čodalcodic Cassianos new doctor monduan.
te_nalad teʒèm a· baꝛań etè[_]t èn taneituanīma[_].	te_nalad teʒèm a· baꝛań etèlt èn taneituanīmal.
dè kèꝛèſ[_]ec èngemèt m[_]go̗lno̗to̗k,	dè kèꝛèſtec èngemèt mego̗lno̗to̗k,
laſſanac vilaǵo[_].	laſſanac vilaǵot.
es mind enne soc ńomorusagnac vtanna [_]ezo̗n kello̗ [_]eńe[_] belo̗le,	es mind enne soc ńomorusagnac vtanna lezo̗n kello̗ keńer belo̗le,
Amen	Amen
h[_]gÿ frater ferencz olyan,	hogÿ frater ferencz olyan,
ees az kemen ný[_]k megh nem[_]haýoltatýk.	ees az kemen nýak megh nem haýoltatýk.
Es micoꝛ meg[_]eltec uolna o̗tèt tèn[_]èr èluo̗l,	Es micoꝛ megleltec uolna o̗tèt tèngèr èluo̗l,
h[_]gý kell[_]sse-@@nek een zaamnak bezeedý, ees een zýwemnek gondolat[_]ya the_elet[_]hed mýndenha[_]	hogý kellesse-@@nek een zaamnak bezeedý, ees een zýwemnek gondolathya the_eletthed mýndenha.
Fel_emelt[_]ek folýo_wýz[_]k ew habokath: sook[_]wyzeknek zawýthwl Ch[_]dalathos ten[_]@@gernek[_]emelkedeͤsý: chwdala-@@thos magassagokban.	Fel_emelthek folýo_wýzek ew habokath: sook wyzeknek zawýthwl Chwdalathos ten-@@gernek emelkedeͤsý: chwdala-@@thos magassagokban.
ez elʼe[_]en istennec elo̗tte[_]igo̗n naǵ,	ez elʼeten istennec elo̗tte igo̗n naǵ,
meꝛ[_] kinèc vagō,	meꝛt kinèc vagō,
es valaminemu̇ gonoz[_] el acarz[_]tauoztatni,	es valaminemu̇ gonozt el acarz tauoztatni,
èʒekè[_] mōda:	èʒekèt mōda:
De zent fferen[_]z ewnek yewueset, yo== ==go[_]dolatty[_]t es kysalasat annak elewtte meg_[_]uda[_]ew== ==lelkeben.	De zent fferencz ewnek yewueset, yo== ==gondolattyat es kysalasat annak elewtte meg_tuda ew== ==lelkeben.
Es m[_]da o̗_nèki:	Es mōda o̗_nèki:
ez vn[_]agat nem valʼa,	ez vnmagat nem valʼa,
⁊ felkelu[_] ko̗uète o̗tet.	⁊ felkeluē ko̗uète o̗tet.
Ki fèlèl[_]ē monda nèkic:	Ki fèlèluē monda nèkic:
hog o̗_[_]èle volna.	hog o̗_vèle volna.
meꝛt ig v̇ld[_]̗ʒtec[_]a· ꝓphetacat,	meꝛt ig v̇ldo̗ʒtec a· ꝓphetacat,
melʼlʼel meꝛènde[_]ec,	melʼlʼel meꝛèndetec,
hol vèttec o̗[_]èt.	hol vèttec o̗tèt.
⁊ v̇lno̗,	⁊ v̇lno̗,
pocloſoc meǵtiʒ́[_]oltatnac,	pocloſoc meǵtiʒ́toltatnac,
⁊ iʒnac u[_]la,	⁊ iʒnac uala,
Azert ha ezt meg_gon[_]olanǵa az b[_]no̗s embo̗r,	Azert ha ezt meg_gondolanǵa az bino̗s embo̗r,
[_]iʒoń lakoʒec aʒon [_]èlʼbē kèt napon.	biʒoń lakoʒec aʒon hèlʼbē kèt napon.
⁊ tiʒ́to[_]atbā ki_meg[_]n megtiʒ́t[_]ituā mēden etkèket.	⁊ tiʒ́tolatbā ki_megen megtiʒ́teituā mēden etkèket.
mend egben repe[_]lew keselyw,	mend egben repewlew keselyw,
mellʼèkèt attal ènn[_]kē,	mellʼèkèt attal ènnèkē,
meꝛt[_]valamelʼlʼèkèt aʒ tènd,	meꝛt valamelʼlʼèkèt aʒ tènd,
meꝛt olʼ[_]ʼatanoke iſ[_]ènnᶜ oꝛʒaǵa.	meꝛt olʼlʼatanoke iſtènnᶜ oꝛʒaǵa.
Es ki_menè[_]a· pituaꝛ èlèibe,	Es ki_menè a· pituaꝛ èlèibe,
⁊ [_]ėlʼ bèlo̗l vagō?	⁊ mėlʼ bèlo̗l vagō?
Es megfoꝛ[_]oluā a· kop[_]ꝛſotol hiꝛdètec a· tiʒèn_egnᶜ / ⁊ mēd aʒ egèb[_]cnᶜ[_]	Es megfoꝛdoluā a· kopoꝛſotol hiꝛdètec a· tiʒèn_egnᶜ / ⁊ mēd aʒ egèbicnᶜ.
kÿ volna alazatossagban es zegensegbe[_] m[_]ndentewl kewlewmb: a[_]oktol,	kÿ volna alazatossagban es zegensegben mendentewl kewlewmb: azoktol,
Es vala[_]mēdꝫ napon a· templomban taneit[_]an.	Es vala mēdꝫ napon a· templomban taneituan.
Fèle[_]è o̗nèkic iᶜ:	Fèlelè o̗nèkic iᶜ:
kic tu̇to̗kèt gu̇lo[_]tèc!	kic tu̇to̗kèt gu̇loltèc!
Ha ke· a[_] vac a vak[_]t vèʒètèndi,	Ha ke· a· vac a vakot vèʒètèndi,
Te vꝛad iſtèned[_]ėg.	Te vꝛad iſtèned ėg.
Es el_mene [_]ent fferencz,	Es el_mene zent fferencz,
o̗tet keꝛg[_]tèc,	o̗tet keꝛgetèc,
Tugguc,	Tugguc,
kic oth valana[_]:	kic oth valanac:
Szent János Evangelista Koͤnyvéne[_] Elei[_]	Szent János Evangelista Koͤnyvének Elei.
Aldýaͣtok mýnde[_] bestýek [_]es barmok wrat',	Aldýaͣtok mýnden bestýek ees barmok wrat',
⁊[_]igaſſaǵban nē allot,	⁊ igaſſaǵban nē allot,
èʒec vėʒ́nèc nagob kaꝛhoʒato[_][_]	èʒec vėʒ́nèc nagob kaꝛhoʒatot.
m[_]st meg'_chalatot' | fel_[_]erkewnek | k[_]wnhwllatasýmwal.	mast meg'_chalatot' | fel_serkewnek | kewnhwllatasýmwal.
meꝛt[_]haꝛmadnapi.	meꝛt haꝛmadnapi.
egÿenbe mondananak v[_]t[_]rnÿett.	egÿenbe mondananak veternÿett.
kyk neky voltak [_]eg_yzentetek angyalnak m[_]atta.	kyk neky voltak meg_yzentetek angyalnak mÿatta.
Honn[_] èleǵeithèti meǵ è[_]eket keńeꝛeckel valak[_] ith è kiètlenbèn.	Honnā èleǵeithèti meǵ èʒeket keńeꝛeckel valaki ith è kiètlenbèn.
Es legottan lo̗t aʒ ang[_]l[_]a[_] meńńeẏ viteʒi ſeꝛègecnᶜ ſokaſſaga dičeꝛue[_] iſtènt ⁊ mōduan:	Es legottan lo̗t aʒ angallal meńńeẏ viteʒi ſeꝛègecnᶜ ſokaſſaga dičeꝛuen iſtènt ⁊ mōduan:
Es en te_neked fog[_]dom,	Es en te_neked fogadom,
Ees leeznek[_]	Ees leeznek,
Dyche[_]@@seegh athýanak ees fýw[_]@@na[_] ees zenthleleknek.	Dyche-@@seegh athýanak ees fýw-@@nak ees zenthleleknek.
miglen na[_] vagon.	miglen nap vagon.
⁊ a· geꝛendat te ʒėmėdbèn[_][_]ē latod.	⁊ a· geꝛendat te ʒėmėdbèn nē latod.
Fiam, [_]mlèkeʒièl== ==m̄g,	Fiam, èmlèkeʒièl== ==m̄g,
hogÿ [_]z vÿ[_]agÿ pap mene bel Γ Porciun[_]ul[_]_belÿ zent marian[_]k egÿhazaba aÿoÿtatossagnak kedueert,	hogÿ ez vÿlagÿ pap mene bel Γ Porciuncula_belÿ zent marianak egÿhazaba aÿoÿtatossagnak kedueert,
m[_]ndennek felette vtal uala pe{n}z[_],	mendennek felette vtal uala pe{n}zt,
m[_]rt az haborusagot bekeseggel zenuednie zentsegnec es malaz[_]n[_]c naǵ[_]b ieǵe,	mert az haborusagot bekeseggel zenuednie zentsegnec es malaztnac naǵob ieǵe,
⁊ nē v[_][_]a o̗ tanoſagoc alkolmas.	⁊ nē vala o̗ tanoſagoc alkolmas.
ew bewnehez [_][_]wn harmad bewnt.	ew bewnehez tewn harmad bewnt.
ky monda[_]yk labaknak,	ky mondatyk labaknak,
Fogadzs,	Fogadzs,
Monda aʒeꝛt [_]ekic iᶜ:	Monda aʒeꝛt nekic iᶜ:
hogÿ ew hyuÿ mÿatt [_]|. lla_t ew ÿvhÿ[_]ak.	hogÿ ew hyuÿ mÿatt .|. lla_t ew ÿvhÿnak.
⁊ hoʒanac n[_]ki mē[_]en gonoʒ́ol vallokat,	⁊ hoʒanac neki mēden gonoʒ́ol vallokat,
merth y-@@-me eez_wt[_]an bodoghnak mondnak engem mýnden nem[_]ethe[_].	merth y-@@-me eez_wthan bodoghnak mondnak engem mýnden nemzethek.
Ha ke· kèꝛdènd[_]ec,	Ha ke· kèꝛdèndlec,
è kènèttèl kènète [_]̄g èn laba[_]mat.	è kènèttèl kènète m̄g èn labaimat.
⁊ hide[_]ſed iſtēnᶜ oꝛʒagat!	⁊ hideſſed iſtēnᶜ oꝛʒagat!
mÿkenth [_]oronazÿa vala o̗teth az ÿrgalmassagh ha[_]ala ÿdeÿe[_],	mÿkenth koronazÿa vala o̗teth az ÿrgalmassagh halala ÿdeÿen,
⁊[_]nē akaꝛad.	⁊ nē akaꝛad.
menthewl le_ýlend[_]thek,	menthewl le_ýlendethek,
es el_ragadoz'a[_].	es el_ragadoz'ac.
Te_benned wram r[_]meͤnkedtem,	Te_benned wram remeͤnkedtem,
kýkwel eez eͤleeth ekesewlte[_][_]wolna,	kýkwel eez eͤleeth ekesewlteb wolna,
harmadýk	harmadýk
Imadsagh	Imadsagh
el_haǵwan haloÿok[_]th[_]es az haÿoćzkath[_]ko̗uetek o̗teth.	el_haǵwan haloÿokath es az haÿoćzkath ko̗uetek o̗teth.
ffrater masseus[_]ak ertelmet es me nezes[_]t:| ew ze[_] es ayoÿtatos nezeseuel [_]s zep beze{[_]e}deuel.	ffrater masseusnak ertelmet es me nezeset:| ew zep es ayoÿtatos nezeseuel es zep beze{de}deuel.
kyne[_] mÿkoro[_] Meglen elek uala,	kynek mÿkoron Meglen elek uala,
kol[_]agiatoc,	koltagiatoc,
ees[_]magaͣt' m[_]wel-@@-kedetybe megh nem gýo-@@gý[_]týa.	ees magaͣt' mýwel-@@-kedetybe megh nem gýo-@@gýhtýa.
kýk az Nyar[_] Sextaban wan[_]@@nak.	kýk az Nyarý Sextaban wan-@@nak.
⁊[_]volt o̗ omlaſa nag.	⁊ volt o̗ omlaſa nag.
hog valaki m̄g_ńitta== ==uol[_][_] vakon lo̗tnᶜ o[_]== ==ʒ́emèit.	hog valaki m̄g_ńitta== ==uolna vakon lo̗tnᶜ o̗== ==ʒ́emèit.
Vako[_] valʼl[_]atoc tu̇ ʒ́u̇uèteket.	Vakon valʼlʼatoc tu̇ ʒ́u̇uèteket.
ha illic ʒombaton vigaʒtani[_]	ha illic ʒombaton vigaʒtani,
lo̗t nag èhſe[_] aʒ== ==oꝛʒ́[_]gban,	lo̗t nag èhſeǵ aʒ== ==oꝛʒ́agban,
hog[_]èʒeket teʒed?	hog èʒeket teʒed?
⁊ èʒec,	⁊ èʒec,
es felto̗k[_]e az fo[_]ldre le_esenec.	es felto̗kbe az fo̗ldre le_esenec.
ſē feꝛfiunac a[_]aratʼtʼabol,	ſē feꝛfiunac akaratʼtʼabol,
Es gÿakor[_]a,	Es gÿakorta,
mi tèććic tu̇nèc[_]ec?	mi tèććic tu̇nèctec?
⁊ mōd== =[_]uala iᶜ:	⁊ mōd== ==uala iᶜ:
Mondanac nè[_]i:	Mondanac nèki:
Vram, hog laſſac[_]	Vram, hog laſſac.
hogÿ [_]e kyuanatod me vagÿ[_]n meg_tellyesewlt,	hogÿ te kyuanatod me vagÿon meg_tellyesewlt,
mert nagÿ zolg[_]lat s[_]kassag es erewtelen== ==uala.	mert nagÿ zolgalat sokassag es erewtelen== ==uala.
Es a· kiꝛalʼ fèlèlu[_] mōd aʒocna[_]:	Es a· kiꝛalʼ fèlèluē mōd aʒocnac:
oda_hÿak az o̗ hugo[_]ath,	oda_hÿak az o̗ hugokath,
mendennek m[_]g_yelentuen: nem hagya az megalut testet kyv[_]nnÿ a[_] hazba[_]ol,	mendennek meg_yelentuen: nem hagya az megalut testet kyvynnÿ az hazbalol,
es čodal[_]odnac vala mind az v̇ naǵ bo̗lčese[_]en,	es čodalcodnac vala mind az v̇ naǵ bo̗lčesegen,
čudalkottanac [_]ʒecro̗l,	čudalkottanac èʒecro̗l,
hog èlue[_]en vala[_]it o̗ haʒabol.	hog èluegen valamit o̗ haʒabol.
⁊ mōda o[_]nèki:	⁊ mōda o̗nèki:
De hogÿ frat{e[_]} Ber[_]ald ywtna halalanac ÿdeÿere,	De hogÿ frat{er} Bernald ywtna halalanac ÿdeÿere,
zent fferencz fel_ew[_]tewztete frater Rufe[_]t,	zent fferencz fel_ewltewztete frater Rufent,
[_]s cristusnak ÿuhÿt meg[_]epeÿtettek uala,	es cristusnak ÿuhÿt meg_epeÿtettek uala,
Mikeppèn a[_]hatʼtʼa o̗ [_]èſtėt mu̇nè[_]o̗nc megènno̗nc?	Mikeppèn adhatʼtʼa o̗ tèſtėt mu̇nèko̗nc megènno̗nc?
o̗tet keꝛgetec[_]	o̗tet keꝛgetec,
Latuā[_]o̗tèt èſec o̗ labaihoʒ,	Latuā o̗tèt èſec o̗ labaihoʒ,
veztegÿe[_]ek.	veztegÿetek.
me[_]t vtannonc iuo̗lt.	meꝛt vtannonc iuo̗lt.
meꝛ[_] a· ſidoc kè[_]èſic== ==uala o̗tèt mego̗lnièc.	meꝛt a· ſidoc kèꝛèſic== ==uala o̗tèt mego̗lnièc.
Es mÿkoron ew[_]bodog fferenczuel ystennek bezedyr[_]wl vala[_]en[_]et bezellettec uolna,	Es mÿkoron ew bodog fferenczuel ystennek bezedyrewl valamenyet bezellettec uolna,
kit f[_]llètec.	kit fėllètec.
Felelen[_] aʒ ildomoſoc monduā:	Felelenᶜ aʒ ildomoſoc monduā:
mẻt ninč vi[_]aǵ o̗_benne.	mẻt ninč vilaǵ o̗_benne.
kyket az baratok kert[_][_]ek uala e[_]tewlewk alazatost.	kyket az baratok kertenek uala ewtewlewk alazatost.
⁊ ne aka[_]iatoc m[_]g_tiltanotoc aʒocat,	⁊ ne akaꝛiatoc m̄g_tiltanotoc aʒocat,
De agg ellens[_]g akaruan zomorwsagot zomorws[_]gra adnÿ[_],	De agg ellenseg akaruan zomorwsagot zomorwsagra adnÿa,
⁊ iaꝛih?	⁊ iaꝛih?
im èlko̗ʒèle[_]t aʒ ido̗,	im èlko̗ʒèleit aʒ ido̗,
Azon wr | yeswsn[_][_] chrysthwsnak mý-@@-attha, ký athýa_ystennel ees zen[_]h_lelekke[_] eel,	Azon wr | yeswsnak chrysthwsnak mý-@@-attha, ký athýa_ystennel ees zenth_lelekkel eel,
Es bodog ffere[_]c mond [_]ala: zolonak.	Es bodog fferenc mond uala: zolonak.
es az o̗ro̗c ha[_]aba naǵ erdo̗mmel aca[_] mennie,	es az o̗ro̗c hazaba naǵ erdo̗mmel acar mennie,
hogÿ[_]mend ez vÿlag te_vtannad yewy[_]wn?	hogÿ mend ez vÿlag te_vtannad yewyewn?
ki ſo[_]akeꝛt èlo̗tlètic.	ki ſokakeꝛt èlo̗tlètic.
Segeyc[_] mýnket,	Segeych mýnket,
t[_]zen uala nemÿ egyess[_]ges vÿgasagot.	tezen uala nemÿ egyesseges vÿgasagot.
Es azt mondyak uala[_]sok barato[_],	Es azt mondyak uala sok baratok,
Mÿ== [_]=es vÿgadh[_]tnank ez vÿlagon,	Mÿ== ==es vÿgadhatnank ez vÿlagon,
Ne akaꝛiatoc alaitanot[_]c,	Ne akaꝛiatoc alaitanotoc,
Laſſatoc,	Laſſatoc,
Mas nap w[_]an ked[_]gh | aa-@@ronnak wezzeýe [_]elette[_]eek chemetheesewlthný wýraͣ-@@gokath,	Mas nap wtan kedygh | aa-@@ronnak wezzeýe leletteteek chemetheesewlthný wýraͣ-@@gokath,
meꝛt è ʒ́eǵėn o̗ʒuèg mēdènecnèl to̗bb[_]t èꝛèʒ́tėt[_]	meꝛt è ʒ́eǵėn o̗ʒuèg mēdènecnèl to̗bbèt èꝛèʒ́tėt.
Ig lo̗t kè[_],	Ig lo̗t kè·,
es eǵeb zent [_]iandoknac vete[_]ere,	es eǵeb zent aiandoknac vetelere,
harmad	harmad
⁊ legènᶜ o̗k es meǵſcè[_]telt[_]c iǵaſſaǵban.	⁊ legènᶜ o̗k es meǵſcènteltèc iǵaſſaǵban.
hog [_]ʒ alomnac alaſaꝛol m[_]ndana.	hog aʒ alomnac alaſaꝛol mondana.
kic meǵmarattatoc ènvèlē èn k[_]ſ[_]ꝛtètimbèn,	kic meǵmarattatoc ènvèlē èn kėſėꝛtètimbèn,
mēd èn if[_]udadſagomtol foguā,	mēd èn ifiudadſagomtol foguā,
meg_al[_]ttatt,	meg_aluttatt,
ez zent[_]imadsag vr_i[_]tennel zol,	ez zent imadsag vr_istennel zol,
Demaga[_]fesuenseguel tewlt vr S[_]luester,	Demaga fesuenseguel tewlt vr Siluester,
Aldyaͣtok wrn[_]k papý wrat',	Aldyaͣtok wrnak papý wrat',
Akarÿa uala ew fÿaÿt [_]allatnÿ has[_]onlatos byzon[_]agual neky.	Akarÿa uala ew fÿaÿt vallatnÿ hassonlatos byzonsagual neky.
hoǵh tẃ kÿk en_ertem[_]mÿndeneketh el_h[_]ttatok,	hoǵh tẃ kÿk en_ertem mÿndeneketh el_hattatok,
De megteruen zent ffe[_]ench az el[_]ew vton,	De megteruen zent fferench az elsew vton,
⁊ bèmenenᶜ a·[_]diʒnocba.	⁊ bèmenenᶜ a· diʒnocba.
mý wronk ye[_]us christusnak mýatta, ký the_[_]eled[_]lakozyk,	mý wronk yesus christusnak mýatta, ký the_weled lakozyk,
hoǵ_nem a[_] naǵ cazdagsaga.	hoǵ_nem az naǵ cazdagsaga.
ew[_]ýzýe wr the lelkedeth,	ewrýzýe wr the lelkedeth,
auaǵ Kedeg [_]z meń_orzage.	auaǵ Kedeg az meń_orzage.
es melʼ igo̗n naǵ haznalatʼa leǵ[_]̗[_] az zent i[_]adsagnac.	es melʼ igo̗n naǵ haznalatʼa leǵo̗n az zent imadsagnac.
⁊ vètuē [_]ʒ́t o̗ baꝛ[_]aꝛa mōda a· ſtallo_taꝛtonac,	⁊ vètuē aʒ́t o̗ baꝛmaꝛa mōda a· ſtallo_taꝛtonac,
Frater leorol mykoron latta [_]ala zent f[_]renczet [_]ewlttewl fel_emelet==[_]==lennÿ.	Frater leorol mykoron latta uala zent ferenczet fewlttewl fel_emelet== ==lennÿ.
h[_] ystentewl ezen ayandekot ew er[_]elme myat erdemlene ven[_]ÿe.	ha ystentewl ezen ayandekot ew erdelme myat erdemlene vennÿe.
Vvr sýonnak fogsaagaath[_]megh_for[_]yhthasaban | let[_]@@thek leewnk,	Vvr sýonnak fogsaagaath megh_fordyhthasaban | let-@@thek leewnk,
es keuelʼh[_]	es keuelʼh.
Ez[_]h[_]meegh re[_]ente== ==es megh_mutattah vala az vr_[_]sten zenth esdras ꝓphetanak,	Ezth meegh regente== ==es megh_mutattah vala az vr_ÿsten zenth esdras ꝓphetanak,
D[_] [_]z zent attyanak fel_emelkedesÿ voltak aluerna newew helÿe[_]: es egyeb so[_] helyeken.	De ez zent attyanak fel_emelkedesÿ voltak aluerna newew helÿen: es egyeb sok helyeken.
My[_]keͤppen leezen ez ystenne[_] an-@@gýala,	My_keͤppen leezen ez ystennek an-@@gýala,
felele z[_]nt fferencz:	felele zent fferencz:
Azert valaki acar me[_]_zabad[_]lni az o̗r[_]̗c ǵalazattul,	Azert valaki acar meg_zabadulni az o̗ro̗c ǵalazattul,
monda:	monda:
Monda o̗[_]neki iᶜ:	Monda o̗_neki iᶜ:
fualla o̗_r[_]iaioc,	fualla o̗_reiaioc,
k[_]kben sokan[_]ewtek uala nagÿ aÿoÿtatossagual,	kykben sokan ewtek uala nagÿ aÿoÿtatossagual,
A[_]eꝛt ha mondandnac tu[_]nèktec:	Aʒeꝛt ha mondandnac tu̇nèktec:
⁊ lėlʼlʼènèc e[_]kèkèt,	⁊ lėlʼlʼènèc etkèkèt,
[_]ōda o̗nèkic iᶜ:	Mōda o̗nèkic iᶜ:
hogÿ en[_]az sebeknek helyt v[_]ÿ vakarom el,	hogÿ en az sebeknek helyt vgÿ vakarom el,
hog èꝛtènenᶜ [_]raſocat,	hog èꝛtènenᶜ iraſocat,
mý[_]enth wala kezdethben ees ma ees mýndenha [_]es erewkkewl[_]erewkke.	mýkenth wala kezdethben ees ma ees mýndenha ees erewkkewl_erewkke.
⁊ kèʒdè ʒ́o[_]ni.	⁊ kèʒdè ʒ́olni.
wrra ywelthee[_],	wrra yweltheek,
Te h[_]ws, nem tartad en [_]anwsagomot az czergetesb[_]n.	Te hews, nem tartad en tanwsagomot az czergetesben.
H[_] faýthalansagokath megh_[_]harthandazs wram,	Ha faýthalansagokath megh_tharthandazs wram,
Es megm[_]nda mondot hewsnec menden mÿuel[_]edetÿt,	Es megmonda mondot hewsnec menden mÿuelkedetÿt,
⁊ hoʒia_vepec [_]g lea[_] monduan:	⁊ hoʒia_vepec eg leań monduan:
ezt ńiluan meg[_]o[_]smero̗d ebbo̗l,	ezt ńiluan meg_o̗smero̗d ebbo̗l,
O̗ ke· r[_]ǵaduan meguigaʒ́t[_] aʒ́t,	O̗ ke· raǵaduan meguigaʒ́ta aʒ́t,
es monda nek[_] olofernes.	es monda neki olofernes.
ẃduo̗z== ==leǵ[_] Ma-@@ria, mal[_]ztal tellÿes.	ẃduo̗z== ==leǵh Ma-@@ria, malaztal tellÿes.
ki vala ko̗ʒ[_]ueńès,	ki vala ko̗ʒ́ueńès,
meꝛt vala o̗kèt tanei[_]o,	meꝛt vala o̗kèt taneito,
Nap nap-@@n[_]k[_]kerewdyk ygeeth,	Nap nap-@@nak kerewdyk ygeeth,
èʒ i[_]o̗t ke· mikėppè̄ nē [_]iʒońeitanotoc?	èʒ ido̗t ke· mikėppè̄ nē biʒońeitanotoc?
kýk ýaͣrnak[_]ew wthaýba.	kýk ýaͣrnak ew wthaýba.
kyt latuan frater [_]asseus ygen meg_yzanÿodak[_]	kyt latuan frater masseus ygen meg_yzanÿodak.
mikeppen az cristal[_]ku̇,	mikeppen az cristal_ku̇,
Isten en[_]segedseegemre ygýekez-@@y[_]ͤl,	Isten en segedseegemre ygýekez-@@yeͤl,
Vra[_] halgassad megh[_]een ymaͣd_saͣgomath,	Vram halgassad megh een ymaͣd_saͣgomath,
hog meńńo̗nc o̗_[_]èleiec.	hog meńńo̗nc o̗_bèleiec.
Es a· vačora megl[_]uė̄, micor o̗ꝛdo̗ǵ[_]īma[_] èrèʒ́tette voln[_] o̗ magat Iudaſnac ʒ́u̇uėbè,	Es a· vačora meglėuė̄, micor o̗ꝛdo̗ǵ īmar èrèʒ́tette volna o̗ magat Iudaſnac ʒ́u̇uėbè,
ho[_]nē tinectec.	hognē tinectec.
èn iǵėim [_]e· èl nē mulnac	èn iǵėim ke· èl nē mulnac
mikeppen amaz iam[_]o̗r z[_]̇zet sarat rag[_]elnec leańat,	mikeppen amaz iambo̗r zu̇zet sarat raguelnec leańat,
ki mi[_]do̗n [_]ozagnac ellenko̗do̗e,	ki mindo̗n iozagnac ellenko̗do̗e,
⁊ a· hab a· ha[_]oba èꝛèʒtetic vala[_]	⁊ a· hab a· haioba èꝛèʒtetic vala,
ees zýlz[_] fýath.	ees zýlzs fýath.
kÿknek kelh gÿẃmo̗lćzo̗znÿek, lelkÿ [[_]ÿz-@@tasagot[_]: ÿo hÿrth][_]tÿzta[_]saggal, ÿo hÿrrel new[_]l, vÿlagosÿtto bo̗lćzesegg[_]l, bo̗lćznek mondasa z[_]rēt:	kÿknek kelh gÿẃmo̗lćzo̗znÿek, lelkÿ [tÿz-@@tasagoth: ÿo hÿrth] tÿztassaggal, ÿo hÿrrel newel, vÿlagosÿtto bo̗lćzeseggel, bo̗lćznek mondasa zerēt:
hog mellet ew nem tehet ual[_],	hog mellet ew nem tehet uala,
Ennᶜ vtanna kèʒde[_]iᶜ iè[_]engètni o̗ taneituańinac,	Ennᶜ vtanna kèʒde iᶜ ièlengètni o̗ taneituańinac,
kynek kewrnywle [_]ala eg[_] helheztetett zep kew.	kynek kewrnywle vala egÿ helheztetett zep kew.
[_]s mōdanac nèki:	Es mōdanac nèki:
⁊ halallal getꝛit [_]̗kèt,	⁊ halallal getꝛit o̗kèt,
